ctryCode,loCode,sampled,majorPorts90,majorPorts95,majorPorts99,major_Ports90byTrip,major_Ports95byTrip,major_Ports99byTrip
GBR,GBLYM,no,minor,minor,minor,major,major,major
GBR,GBMAL,no,minor,minor,minor,minor,minor,major
GBR,GBMCD,no,minor,minor,minor,minor,minor,minor
GBR,GBMGT,no,minor,minor,minor,minor,major,major
GBR,GBMLF,no,minor,minor,minor,minor,minor,minor
GBR,GBMLG,no,minor,minor,minor,minor,minor,minor
GBR,GBMVG,no,minor,minor,minor,minor,minor,minor
GBR,GBNHV,yes,minor,minor,major,major,major,major
GBR,GBNSH,yes,minor,major,major,major,major,major
GBR,GBNYL,no,minor,minor,minor,minor,minor,minor
GBR,GBOUK,no,minor,minor,minor,minor,minor,minor
GBR,GBPAD,no,minor,minor,minor,minor,minor,minor
GBR,GBPHD,yes,major,major,major,major,major,major
GBR,GBPLY,no,minor,minor,minor,minor,minor,minor
GBR,GBPME,yes,minor,minor,minor,major,major,major
GBR,GBPOO,yes,minor,minor,minor,major,major,major
GBR,GBPTL,no,minor,minor,minor,minor,minor,minor
GBR,GBQUB,no,minor,minor,minor,minor,major,major
GBR,GBRCS,no,minor,minor,minor,minor,minor,major
GBR,GBRER,no,minor,minor,minor,minor,minor,major
GBR,GBRFD,no,minor,minor,minor,minor,minor,major
GBR,GBRMG,yes,minor,minor,major,major,major,major
GBR,GBRYE,yes,minor,minor,major,major,major,major
GBR,GBSAA,yes,minor,minor,minor,minor,minor,major
GBR,GBSCA,yes,minor,minor,major,major,major,major
GBR,GBSCR,yes,major,major,major,major,major,major
GBR,GBSEA,no,minor,minor,minor,minor,minor,minor
GBR,GBSFR,no,minor,minor,minor,minor,minor,minor
GBR,GBSHO,yes,minor,minor,major,minor,minor,minor
GBR,GBSHU,yes,minor,minor,minor,minor,minor,minor
GBR,GBSNS,no,minor,minor,minor,minor,minor,minor
GBR,GBSNW,no,minor,minor,minor,minor,minor,minor
GBR,GBSOU,yes,minor,minor,minor,minor,major,major
GBR,GBSSH,no,minor,minor,minor,minor,minor,minor
GBR,GBSSY,yes,minor,minor,minor,major,major,major
GBR,GBSTZ,no,minor,minor,minor,minor,minor,minor
GBR,GBSUN,no,minor,minor,minor,minor,minor,major
GBR,GBSWA,yes,minor,minor,minor,minor,minor,minor
GBR,GBSWD,yes,minor,minor,minor,major,major,major
GBR,GBSWY,yes,major,major,major,major,major,major
GBR,GBSYM,no,minor,minor,minor,minor,minor,minor
GBR,GBSZB,yes,minor,minor,minor,minor,minor,major
GBR,GBTOL,no,minor,minor,minor,minor,minor,minor
GBR,GBULL,no,minor,major,major,minor,minor,minor
GBR,GBVID,no,minor,minor,minor,minor,minor,minor
GBR,GBWBF,no,minor,minor,minor,minor,minor,minor
GBR,GBWEX,yes,minor,minor,minor,minor,minor,minor
GBR,GBWEY,yes,minor,minor,minor,minor,minor,minor
GBR,GBWHY,no,minor,minor,minor,minor,minor,minor
GBR,GBWIC,no,minor,minor,major,minor,minor,minor
GBR,GBWIV,no,minor,minor,minor,minor,minor,minor
GBR,GBWLS,yes,minor,minor,minor,minor,minor,minor
GBR,GBWMS,yes,minor,minor,minor,major,major,major
GBR,GBWNZ,no,minor,minor,minor,minor,minor,major
GBR,GBWOT,no,minor,minor,minor,minor,minor,major
GBR,GBWRY,no,minor,minor,minor,minor,minor,minor
GBR,GBWTB,yes,minor,minor,minor,minor,major,major
GBR,GBWTS,yes,minor,minor,minor,major,major,major
GBR,GBWYX,no,minor,minor,minor,minor,minor,minor
NLD,NLBOR,no,minor,minor,minor,minor,minor,minor
NLD,NLBRS,no,minor,minor,major,minor,major,major
NLD,NLBSE,no,minor,minor,minor,minor,minor,major
NLD,NLBZM,no,minor,minor,minor,minor,minor,major
NLD,NLCDP,no,minor,minor,minor,minor,minor,minor
NLD,NLCOL,no,minor,minor,major,minor,minor,major
NLD,NLCPD,no,minor,minor,minor,minor,minor,major
NLD,NLDHR,yes,major,major,major,major,major,major
NLD,NLDZL,no,minor,major,major,minor,minor,major
NLD,NLEAZ,no,minor,minor,minor,minor,minor,major
NLD,NLEEM,no,major,major,major,major,major,major
NLD,NLEUR,no,minor,minor,minor,minor,minor,major
NLD,NLHAN,no,minor,minor,minor,minor,minor,major
NLD,NLHAR,yes,major,major,major,major,major,major
NLD,NLHLW,no,minor,minor,minor,minor,minor,minor
NLD,NLIJM,yes,major,major,major,major,major,major
NLD,NLKAT,no,minor,minor,minor,minor,minor,minor
NLD,NLKWK,no,minor,minor,minor,minor,minor,minor
NLD,NLLAN,yes,minor,major,major,minor,major,major
NLD,NLNTJ,no,minor,minor,minor,major,major,major
NLD,NLOHI,no,minor,minor,major,minor,minor,minor
NLD,NLPTT,no,minor,minor,minor,minor,minor,major
NLD,NLRSL,no,minor,minor,minor,minor,minor,minor
NLD,NLSCE,yes,major,major,major,major,major,major
NLD,NLSTD,yes,major,major,major,major,major,major
NLD,NLTEX,no,minor,minor,minor,minor,minor,major
NLD,NLTHD,no,minor,minor,minor,minor,minor,minor
NLD,NLURK,yes,minor,minor,major,minor,minor,minor
NLD,NLVLI,yes,major,major,major,major,major,major
NLD,NLWRG,yes,minor,major,major,major,major,major
NLD,NLWSO,no,minor,minor,minor,minor,minor,minor
NLD,NLYSK,no,minor,minor,minor,minor,minor,minor
NOR,NOKMY,no,minor,minor,minor,minor,minor,minor
NOR,NOMOL,no,minor,minor,minor,minor,minor,minor
NOR,NOTOS,no,minor,minor,major,minor,minor,minor
SWE,SEBAS,no,minor,minor,minor,minor,minor,major
SWE,SEBJH,no,minor,minor,minor,minor,minor,major
SWE,SEBLD,no,minor,minor,minor,minor,major,major
SWE,SEBOB,yes,minor,minor,major,minor,major,major
SWE,SEBOU,no,minor,minor,minor,minor,minor,minor
SWE,SEBRL,no,minor,minor,minor,minor,minor,minor
SWE,SEBUA,no,minor,minor,minor,minor,minor,major
SWE,SEDON,no,minor,minor,minor,minor,minor,minor
SWE,SEEDK,yes,minor,minor,minor,minor,minor,minor
SWE,SEELO,yes,minor,minor,minor,minor,minor,major
SWE,SEFAG,no,minor,minor,minor,minor,major,major
SWE,SEFBK,no,minor,minor,minor,minor,minor,minor
SWE,SEFIS,yes,minor,minor,minor,minor,minor,major
SWE,SEFIT,no,minor,minor,minor,minor,minor,minor
SWE,SEFOT,no,minor,minor,minor,minor,minor,minor
SWE,SEGLN,no,minor,minor,minor,major,major,major
SWE,SEGO2,yes,minor,minor,major,minor,minor,major
SWE,SEGOT,yes,minor,minor,major,minor,minor,major
SWE,SEGRD,no,minor,minor,minor,major,major,major
SWE,SEGRE,yes,minor,minor,minor,minor,minor,minor
SWE,SEHAD,no,minor,minor,minor,minor,minor,major
SWE,SEHAV,no,minor,minor,minor,minor,minor,major
SWE,SEHEL,no,minor,minor,minor,minor,minor,major
SWE,SEHKL,no,minor,minor,minor,minor,minor,minor
SWE,SEHNO,yes,minor,minor,minor,major,major,major
SWE,SEHS3,no,minor,minor,minor,minor,minor,minor
SWE,SEKAR,no,minor,minor,minor,minor,minor,minor
SWE,SEKKS,no,minor,minor,minor,minor,minor,minor
SWE,SEKLD,yes,minor,minor,minor,minor,major,major
SWE,SEKNI,no,minor,minor,minor,minor,minor,minor
SWE,SEKUN,yes,minor,minor,minor,minor,major,major
SWE,SEKVS,no,minor,minor,minor,minor,minor,minor
SWE,SELEL,no,minor,minor,minor,minor,minor,minor
SWE,SELYS,yes,minor,minor,minor,minor,major,major
SWE,SEMLO,yes,minor,minor,minor,minor,minor,major
SWE,SEMSD,yes,minor,minor,minor,minor,major,major
SWE,SEOC2,yes,minor,minor,minor,minor,minor,major
SWE,SEOCO,yes,minor,minor,major,major,major,major
SWE,SEOXV,no,minor,minor,minor,minor,minor,minor
SWE,SERES,yes,minor,minor,minor,minor,minor,minor
SWE,SERLD,no,minor,minor,minor,minor,minor,minor
SWE,SERNG,yes,minor,minor,minor,minor,major,major
SWE,SEROO,yes,minor,minor,minor,minor,minor,minor
SWE,SESKM,yes,minor,minor,minor,minor,minor,major
SWE,SESMD,yes,minor,minor,minor,minor,major,major
SWE,SESMO,yes,minor,minor,major,minor,major,major
SWE,SEST6,no,minor,minor,minor,minor,minor,major
SWE,SESVL,no,minor,minor,minor,minor,minor,major
SWE,SETRE,no,minor,minor,major,major,major,major
SWE,SETRL,no,minor,minor,minor,minor,major,major
SWE,SEVGO,no,minor,minor,minor,minor,minor,minor
SWE,SEVLD,no,minor,minor,minor,minor,minor,major
GBR,GBCQY,no,minor,minor,minor,minor,minor,minor
IMN,IMRAM,no,minor,minor,minor,minor,minor,minor
NLD,NL999,no,minor,minor,minor,minor,minor,major
